_dt,Time,Day_of_week,Accident_severity,Number_of_casualties,Apparent Temperature (C),Humidity,Wind Speed (km/h),Visibility (km),se_mean,se_std,se_median,se_trend
2005-12-31 00:00:00+00:00,17:02:00,Monday,Slight Injury,2,-4.05,0.89,17.114300000000004,9.982,103.5,60.043734061099165,103.25,0.0
2005-12-31 07:49:56.053593179+00:00,17:02:00,Monday,Slight Injury,2,-4.05,0.89,17.114300000000004,9.982,102.96656785038127,59.754668137292214,102.7160335961283,-0.5334321496187389
2005-12-31 15:39:52.107186358+00:00,17:02:00,Monday,Serious Injury,2,-4.05,0.89,17.114300000000004,9.982,102.43313570076252,59.46560221348527,102.1820671922566,-1.0668642992374777
2005-12-31 23:29:48.160779537+00:00,1:06:00,Sunday,Slight Injury,2,-4.05,0.89,17.114300000000004,9.982,101.89970355114379,59.17653628967832,101.6481007883849,-1.6002964488562166
2006-01-01 07:19:44.214372716+00:00,1:06:00,Sunday,Slight Injury,2,-2.85,0.8,23.167900000000003,11.2056,101.36627140152504,58.88747036587137,101.11413438451319,-2.1337285984749554
2006-01-01 15:09:40.267965895+00:00,14:15:00,Friday,Slight Injury,1,2.3888888888888875,0.81,19.32,11.3183,100.83283925190631,58.59840444206442,100.58016798064149,-2.667160748093694
2006-01-01 22:59:36.321559074+00:00,17:30:00,Wednesday,Slight Injury,1,2.4944444444444454,0.86,13.6689,15.649200000000002,100.29940710228756,58.309338518257476,100.04620157676979,-3.200592897712433
2006-01-02 06:49:32.375152253+00:00,17:20:00,Friday,Slight Injury,1,1.71111111111111,0.77,25.1482,11.125100000000002,99.76597495266883,58.020272594450525,99.51223517289809,-3.7340250473311722
2006-01-02 14:39:28.428745432+00:00,17:20:00,Friday,Slight Injury,1,4.100000000000001,0.9,12.2199,5.216400000000001,99.2325428030501,57.73120667064358,98.97826876902639,-4.267457196949911
2006-01-02 22:29:24.482338611+00:00,17:20:00,Friday,Serious Injury,1,-2.683333333333332,0.92,17.259200000000003,4.4436,98.69911065343135,57.44214074683663,98.44430236515468,-4.80088934656865
2006-01-03 06:19:20.535931790+00:00,14:40:00,Saturday,Serious Injury,1,-0.2611111111111104,0.87,8.4364,8.1466,98.16567850381261,57.153074823029684,97.91033596128298,-5.334321496187388
2006-01-03 14:09:16.589524969+00:00,14:40:00,Saturday,Serious Injury,1,0.6833333333333316,0.89,7.711900000000001,10.948,97.63224635419387,56.86400889922273,97.3763695574113,-5.867753645806127
2006-01-03 21:59:12.643118148+00:00,17:45:00,Thursday,Slight Injury,2,0.3999999999999993,0.89,6.327300000000001,9.5795,97.09881420457513,56.57494297541578,96.84240315353959,-6.401185795424866
2006-01-04 05:49:08.696711327+00:00,17:45:00,Thursday,Slight Injury,2,2.1388888888888897,0.92,3.1878,5.184200000000001,96.56538205495639,56.285877051608836,96.30843674966789,-6.934617945043605
2006-01-04 13:39:04.750304506+00:00,17:45:00,Thursday,Serious Injury,2,-1.1055555555555547,0.89,16.0034,8.05,96.03194990533765,55.996811127801884,95.77447034579619,-7.4680500946623445
2006-01-04 21:29:00.803897685+00:00,22:45:00,Monday,Serious Injury,3,-1.9444444444444444,0.9,16.8245,9.8371,95.49851775571892,55.70774520399494,95.24050394192449,-8.001482244281084
2006-01-05 05:18:56.857490864+00:00,22:45:00,Monday,Slight Injury,3,-2.183333333333333,0.99,11.125100000000002,3.6064000000000007,94.96508560610017,55.41867928018799,94.70653753805279,-8.534914393899822
2006-01-05 13:08:52.911084043+00:00,22:45:00,Monday,Serious Injury,3,1.427777777777778,0.99,9.5312,6.1985,94.43165345648144,55.12961335638104,94.17257113418108,-9.06834654351856
2006-01-05 20:58:48.964677222+00:00,22:45:00,Monday,Slight Injury,3,2.727777777777776,0.93,3.3166,3.2361,93.8982213068627,54.84054743257409,93.63860473030938,-9.6017786931373
2006-01-06 04:48:45.018270401+00:00,8:20:00,Tuesday,Serious Injury,1,2.755555555555556,0.96,2.5921000000000003,2.737,93.36478915724396,54.55148150876714,93.10463832643768,-10.135210842756038
2006-01-06 12:38:41.071863581+00:00,8:20:00,Tuesday,Slight Injury,1,1.6722222222222212,0.89,4.8622000000000005,7.8729,92.83135700762523,54.262415584960195,92.57067192256598,-10.668642992374776
